City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Munich,1972,Aquatics,Swimming,"WETZKO, Gabriele",GDR,Women,4x100m freestyle relay,W,Silver
Munich,1972,Aquatics,Swimming,"FISH, Erik",CAN,Men,4x100m medley relay,M,Bronze
Munich,1972,Aquatics,Swimming,"KASTING, Robert",CAN,Men,4x100m medley relay,M,Bronze
Munich,1972,Aquatics,Swimming,"MAHONY, William",CAN,Men,4x100m medley relay,M,Bronze
Munich,1972,Aquatics,Swimming,"ROBERTSON, Bruce Richard",CAN,Men,4x100m medley relay,M,Bronze
Munich,1972,Aquatics,Swimming,"BRUCE, Thomas Edwin",USA,Men,4x100m medley relay,M,Gold
Munich,1972,Aquatics,Swimming,"HEIDENREICH, Jerry Alan",USA,Men,4x100m medley relay,M,Gold
Munich,1972,Aquatics,Swimming,"SPITZ, Mark",USA,Men,4x100m medley relay,M,Gold
Munich,1972,Aquatics,Swimming,"STAMM, Michael Eugene",USA,Men,4x100m medley relay,M,Gold
Munich,1972,Aquatics,Swimming,"FLÖCKNER, Hartmut",GDR,Men,4x100m medley relay,M,Silver
Munich,1972,Aquatics,Swimming,"KATZUR, Klaus",GDR,Men,4x100m medley relay,M,Silver
Munich,1972,Aquatics,Swimming,"MATTHES, Roland",GDR,Men,4x100m medley relay,M,Silver
Munich,1972,Aquatics,Swimming,"UNGER, Lutz",GDR,Men,4x100m medley relay,M,Silver
Munich,1972,Aquatics,Swimming,"BECKMANN, Gudrun",FRG,Women,4x100m medley relay,W,Bronze
Munich,1972,Aquatics,Swimming,"EBERLE, Verena (Vreni)",FRG,Women,4x100m medley relay,W,Bronze
Munich,1972,Aquatics,Swimming,"PIELEN, Silke",FRG,Women,4x100m medley relay,W,Bronze
Munich,1972,Aquatics,Swimming,"REINECK, Heidemarie",FRG,Women,4x100m medley relay,W,Bronze
Munich,1972,Aquatics,Swimming,"BELOTE, Melissa Louise",USA,Women,4x100m medley relay,W,Gold
Munich,1972,Aquatics,Swimming,"CARR, Catherine L.",USA,Women,4x100m medley relay,W,Gold
Munich,1972,Aquatics,Swimming,"DEARDRUFF, Deena Diana",USA,Women,4x100m medley relay,W,Gold
Munich,1972,Aquatics,Swimming,"NEILSON, Alexandra Lynn",USA,Women,4x100m medley relay,W,Gold
Munich,1972,Aquatics,Swimming,"BEIER, Roswitha",GDR,Women,4x100m medley relay,W,Silver
Munich,1972,Aquatics,Swimming,"ENDER, Kornelia",GDR,Women,4x100m medley relay,W,Silver
Munich,1972,Aquatics,Swimming,"HERBST, Christine",GDR,Women,4x100m medley relay,W,Silver
Munich,1972,Aquatics,Swimming,"VOGEL, Renate",GDR,Women,4x100m medley relay,W,Silver
Munich,1972,Aquatics,Swimming,"BURE, Vladimir",URS,Men,4x200m freestyle relay,M,Bronze
Munich,1972,Aquatics,Swimming,"GRIVENNIKOV, Igor",URS,Men,4x200m freestyle relay,M,Bronze
Munich,1972,Aquatics,Swimming,"KULIKOV, Georgi",URS,Men,4x200m freestyle relay,M,Bronze
Munich,1972,Aquatics,Swimming,"MAZANOV, Viktor",URS,Men,4x200m freestyle relay,M,Bronze
Munich,1972,Aquatics,Swimming,"GENTER, Robert Steven",USA,Men,4x200m freestyle relay,M,Gold
Munich,1972,Aquatics,Swimming,"KINSELLA, John Pitann",USA,Men,4x200m freestyle relay,M,Gold
Munich,1972,Aquatics,Swimming,"SPITZ, Mark",USA,Men,4x200m freestyle relay,M,Gold
Munich,1972,Aquatics,Swimming,"TYLER, Frederick Daniel",USA,Men,4x200m freestyle relay,M,Gold
Munich,1972,Aquatics,Swimming,"FASSNACHT, Hans",FRG,Men,4x200m freestyle relay,M,Silver
Munich,1972,Aquatics,Swimming,"LAMPE, Werner",FRG,Men,4x200m freestyle relay,M,Silver
Munich,1972,Aquatics,Swimming,"STEINBACH, Klaus",FRG,Men,4x200m freestyle relay,M,Silver
Munich,1972,Aquatics,Swimming,"VOSSELER, Hans-Günther",FRG,Men,4x200m freestyle relay,M,Silver
Munich,1972,Aquatics,Swimming,"CALLIGARIS, Novella",ITA,Women,800m freestyle,W,Bronze
Munich,1972,Aquatics,Swimming,"ROTHHAMMER, Keena Ruth",USA,Women,800m freestyle,W,Gold
